sample_id,expected_tag,question,expected_answer,available_questions_for_tag,sample_index_within_tag,questions_sampled_for_tag
13,address_change_counselor_chairperson_signature,"ভোটার ঠিকানা শিফট করতে কাউন্সিলরের সই দিলে কোনো বাধা আছে কি, নাকি চেয়ারম্যানের সইই লাগবে?",ভোটার এলাকা স্থানান্তর করতে ইউনিয়ন পর্যায় চেয়ারম্যান/মেম্বার এবং পৌরসভা বা সিটিকর্পোরেশনের ক্ষেত্রে মেয়র/কাউন্সিলরের জাতীয় পরিচয়পত্র নম্বর উল্লেখপূর্বক স্বাক্ষর নিতে হবে।,172,1,1
14,address_change_online_new_followup_a,ভোটার এলাকার ঠিকানা পরিবর্তন/মাইগ্রেশন প্রসঙ্গে আবেদন করতে কোথায় যাব? অফিসের অবস্থান আর খোলা থাকার সময় কত?,এক্ষেত্রে আপনি যে ভোটার এলাকায় স্থানান্তর হতে চান সেই উপজেলা/থানা নির্বাচন অফিসে স্বশরীরে আবেদন জমা দিতে হবে।অফিসের ঠিকানা জানতে অনুগ্রহ পূর্বক গুগল ম্যাপের সহযোগিতা নিবেন। সকাল ৯.০০ ঘটিকা থেকে বিকাল ৫.০০ ঘটিকা পর্যন্ত সাধারনত অফিস খোলা থাকে (সরকারী ছুটি ব্যতীত)।,20,1,1
15,address_change_online_new_followup_b,নির্বাচন কমিশনে ভোটার ঠিকানা পরিবর্তনের আবেদন করার সময় সঙ্গে কী কী নিতে হবে?,এ সম্পর্কে বিস্তারিত জানতে নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন।,20,1,1
16,address_change_online_new_followup_c,ঠিকানা সংশোধন/ভোটার মাইগ্রেশন আবেদন জমার পর পরের প্রক্রিয়া কী?,আবেদন করার পরবর্তী নির্দেশনা আপনার মোবাইলে মেসেজের মাধ্যমে জানানো হবে। বিস্তারিত জানতে নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন।,20,1,1
17,address_change_online_new_followup_d,"ভোটার এলাকা/ঠিকানা সংশোধনের আবেদন অনলাইনে করা সম্ভব কি না, নাকি সরাসরি অফিসে জমা দিতে হবে?",সংশ্লিষ্ট কাজটি অনলাইনে করা সম্ভব না হলে আপনি আপনার নিজ উপজেলা নির্বাচন অফিসের সহযোগিতা নিতে পারেন,20,1,1
18,address_change_sms_to_mobile_how_many_days_to_get_approved,"স্থায়ী ঠিকানা আপডেট করেছি, কনফার্মেশন এসএমএস পেয়েছি এপ্রুভাল টাইম কত?","দুঃখিত, আপনার প্রশ্নের উত্তরটি আমার জানা নেই। আপনার এই প্রশ্নের উত্তর জানতে ১০৫-এ কল করে সরাসরি আমাদের প্রতিনিধির সাথে কথা বলুন, ধন্যবাদ।",172,1,1
19,after_success_login_button,সবকিছু সফল এখন পোস্টাল ভোট অ্যাপে কী করতে হবে?,"""লগইন"" বাটনে ক্লিক করুন।",101,1,1
20,age_and_dob_correction,ভোটার আইডির জন্মদিন ঠিক করতে কী কী ডকুমেন্ট আপলোড করতে হবে?,"আপনার শিক্ষাগত যোগ্যতা এসএসসি বা তার উর্দ্ধে হলে এসএসসি সনদ, অন্যান্য ক্ষেত্রে পি.ই.সি অথবা জেএসসি সনদ, অনলাইন জন্ম সনদ দাখিলপূর্বক অনলাইনে আবেদন করুন। তবে উল্লেখ্য যে, বিশেষ ক্ষেত্রে কর্তৃপক্ষ অন্যান্য ডকুমেন্টস চাইতে পারেন।",188,1,1
21,age_and_dob_correction_followup_b,জাতীয় পরিচয়পত্রে জন্মতারিখ সংশোধনের জন্য আবশ্যক কোনো নথি না থাকলে বিকল্প হিসেবে কী জমা দেওয়া যাবে?,এ সম্পর্কে বিস্তারিত জানতে নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন।,20,1,1
22,age_and_dob_correction_followup_d,"এনআইডি সংশোধনের অনলাইন ফর্ম পূরণ করতে গিয়ে যদি ভুল করি, কীভাবে ঠিক করব?",অনলাইন ফর্ম পূরণের সময় ভুল হলে আপনার নিজ থানা/উপজেলা নির্বাচন অফিসে যোগাযোগ করবেন।,19,1,1
23,all_documents_correct_but_application_rejected_why,"প্রয়োজনীয় কাগজপত্র ঠিকভাবে আপলোড, তবু রিজেক্ট কেন?",অনুগ্রহপূর্বক আবেদন বাতিলের কারণ জানতে সংশ্লিষ্ট নির্বাচন কর্মকর্তার সাথে যোগাযোগ করুন। বাতিলের যৌক্তিক কারণ না থাকলে সংশ্লিষ্ট নির্বাচন কর্মকর্তার পরামর্শ অনুযায়ী পুনরায় আবেদন করা যেতে পারে।,172,1,1
24,all_documents_correct_but_application_rejected_why_followup_b,পরিচয়পত্রের ভুল সংশোধন করতে উপজেলা বা থানা নির্বাচন অফিসে গেলে কোন কোন প্রমাণপত্র নিতে হবে?,অফিসে যাওয়ার সময় পূর্বের আবেদনের কাগজপত্র সঙ্গে নিয়ে যাবেন।,20,1,1
25,all_documents_correct_but_application_rejected_why_followup_d,জাতীয় পরিচয়পত্রের সংশোধনী আবেদনের প্রসেসিং টাইম সাধারণত কত দিন?,এ প্রক্রিয়া সম্পন্ন হতে প্রয়োজনীয় সময় দায়িত্বপ্রাপ্ত অফিসারের উপর নির্ভর করে।,20,1,1
26,app_download_sources,'Postal Vote BD' অ্যাপটা পেতে কি Play Store-এ খুঁজবো?,Google Play Store বা Apple App Store -এ পাবেন।,101,1,1
27,app_requirements_internet_gps_vpn,ডাক ভোটিং BD অ্যাপ ব্যবহারের সেটিংস রিকোয়ারমেন্ট কী?,"সক্রিয় ইন্টারনেট সংযোগ, GPS বা লোকেশন সেবা চালু থাকতে হবে এবং VPN সেবা বন্ধ থাকতে হবে।",99,1,1
28,ballot_envelope_submission,পোস্টাল ব্যালট খামটি কোথায় জমা দিতে হয় সাধারণত?,নিকটস্থ পোস্ট অফিসে বা পোষ্ট বক্সে জমা দিতে হবে।,101,1,1
29,ballot_marking_instructions,পোস্টাল ব্যালটে ভোটটি কীভাবে চিহ্নিত করব?,আপনার পছন্দের প্রার্থীর প্রতীকের পাশের খালি ঘরে একটি টিক (✓) অথবা ক্রস (×) চিহ্ন দিন।,99,1,1
30,ballot_packet_contents,পোস্টাল ব্যালট প্যাকেটে কী কী জিনিস থাকে?,"পোস্টাল ব্যালট প্যাকেটে পাঠানো প্যাকেটে থাকেঃ ১. একটি বড় সাদা খাম বা বাইরের খাম ২. একটি বড় হলুদ খাম বা Return Envelope এতে রিটার্নিং অফিসারের ঠিকানা লেখা থাকে। ৩. একটি ছোট সাদা খাম বা Secret Ballot Envelope ভোটের গোপনীয়তা রক্ষার জন্য। ৪. ব্যালট পেপার (প্রার্থীর প্রতীক সহ, ছবি ছাড়া) ৫. ঘোষণাপত্র বা Declaration Form এতে আপনার স্বাক্ষর ও তারিখ দিতে হবে। এবং ৬. নির্দেশিকা।",101,1,1
31,ballot_packing_instructions,ডাক ভোটের খামে ভরার সময় কোন কোন নথি কোথায় বসবে?,পোস্টাল ব্যালটে ভোট দেওয়ার পর ভোট দেওয়া ব্যালট পেপার ছোট সাদা খামে ঢুকিয়ে মুখ বন্ধ করুন। এই ছোট সাদা খাম এবং স্বাক্ষর করা ঘোষণাপত্র বড় হলুদ খামে রাখুন। হলুদ খামের মুখ ভালোভাবে বন্ধ করে সিল করুন।,100,1,1
32,ballot_tracking_button_activation,ব্যালট ট্র্যাক অপশনটির একটিভেশন টাইম কখন?,"নির্দিষ্ট সময়ে ""ব্যালট ট্র্যাক করুন"" বাটন সবুজ রঙে সক্রিয় হবে। সক্রিয় হওয়ার আগে বাটনটি ধূসর রঙে নিষ্ক্রিয় থাকবে।",101,1,1
33,ballot_tracking_definition,ballot tracking অপশন কোন তথ্য উপস্থাপন করে এটা কী?,নির্বাচনের নির্দিষ্ট সময়ে আপনি আপনার ব্যালট পেপারের সম্পূর্ণ অবস্থা দেখতে পারবেন। এটি ব্যালট বক্স এবং ট্র্যাকিং আইকন দিয়ে চিহ্নিত। এর মাধ্যমে ভোট প্রদানের প্রতিটি ধাপ ট্র্যাক করা যায়।,91,1,1
34,birth_certificate_and_ssc_certificate_different_information,বার্থ সার্টিফিকেটের নাম আর এসএসসির নাম এক নয় ভোটার আবেদন কেমন করে পূরণ করব?,যাদের শিক্ষাগত যোগ্যতা এসএসসি বা তদুর্দ্ধ রয়েছে তাদের ক্ষেত্রে জন্ম সনদ ও শিক্ষা সনদের তথ্যাদি একই হওয়া আবশ্যক। আপনার জমাকৃত ডকুমেন্টস যাচাই সাপেক্ষে সংশ্লিষ্ট রেজিস্ট্রেশন অফিসার আবেদন অনুমোদন/বাতিলের সিদ্ধান্ত নিতে পারেন।,172,1,1
35,birth_certificate_and_ssc_certificate_different_information_followup_d,"নতুন ভোটার হিসেবে নিবন্ধন কি ইন্টারনেটের মাধ্যমে করা যায়, নাকি সশরীরে অফিসে যেতে হয়?",নিবন্ধন এর জন্য আবেদন অনলাইনে করা যাবে কিন্তু নিবন্ধন সরাসরি অফিসে যেয়ে করতে হবে।,20,1,1
36,birth_certificate_number_correct_or_add_document_new,ভোটার হওয়ার সময় প্রদত্ত জন্ম সনদ নম্বর পরিবর্তন করতে চাই।,অনলাইন জন্ম সনদ এর কপি দাখিলপূর্বক আবেদন করতে হবে।,185,1,1
37,birth_certificate_number_correct_or_add_document_new_followup_a,"জন্ম নিবন্ধন নম্বর সংযোজন/সংশোধনের জন্য কি আসল কাগজ দেখতে চায়, নাকি ফটোকপি নিলেই হয়?",সকল কাগজপত্রের সত্যায়িত ফটোকপি দিতে হবে,20,1,1
38,birth_certificate_number_correct_or_add_document_new_followup_b,জন্ম সনদ নম্বর সংযোজন বা সংশোধনের ক্ষেত্রে চাহিদাকৃত কাগজপত্রের কোনোটি না থাকলে কী বিকল্প নথি জমা দেব?,এ সম্পর্কে বিস্তারিত জানতে নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন।,20,1,1
39,birth_date_no_proof_model,"জন্ম সনদ নাই, NID-এ DOB ভুল কীভাবে শুদ্ধি আনবো?","দুঃখিত, আপনার প্রশ্নের উত্তরটি আমার জানা নেই। আপনার এই প্রশ্নের উত্তর জানতে ১০৫-এ কল করে সরাসরি আমাদের প্রতিনিধির সাথে কথা বলুন, ধন্যবাদ।",192,1,1
40,birthplace_correction_new_followup_b,জন্মস্থান ভুলের ক্ষেত্রে চাহিদা অনুযায়ী নথি না থাকলে কী বিকল্প আছে?,এ সম্পর্কে বিস্তারিত জানতে নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন।,20,1,1
41,birthplace_correction_new_followup_c,এনআইডি তথ্য সংশোধনের জন্য অনলাইন আবেদন দিয়েছি—এর স্ট্যাটাস কোথা থেকে চেক করবো?,অনলাইন আবেদন করার পরবর্তী নির্দেশনা আপনার মোবাইলে মেসেজের মাধ্যমে জানানো হবে। বিস্তারিত জানতে নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন।,19,1,1
42,birthplace_correction_new_followup_d,এনআইডি সংশোধনের অনলাইন ফর্মে ভুল তথ্য থাকলে সেটি কিভাবে ঠিক করবো?,অনলাইন ফর্ম পূরণের সময় ভুল হলে আপনার নিজ থানা/উপজেলা নির্বাচন অফিসে যোগাযোগ করবেন।,20,1,1
43,bkash_mfs_payment_process,বিকাশ থেকে NID ফি দেওয়ার সময় কোন অপশন বেছে নেব?,মোবাইল ব্যাংকিংয়ের মাধ্যমে বিকাশের ক্ষেত্রে “পে বিল” অপশনে গিয়ে “এনআইডি সার্ভিস” অপশন থেকে এনআইডি ফি প্রদান করা যাবে।,181,1,1
44,blood_group_correction_followup_a,রক্তের গ্রুপ সংক্রান্ত সংযোজন বা সংশোধনের আবেদন কি ওয়েবসাইটে করা যাবে?,রক্তের গ্রুপ সংযোজন বা সংশোধনের আবেদন অনলাইনে করা যাবে।,20,1,1
45,call_center_bengali_support,পোস্টাল ভোট অ্যাপ সাপোর্টে কি বাংলা ভাষার অপশন চালু আছে?,বাংলা ভাষায় সহয়তা পাওয়া যাবে।,100,1,1
46,card_avail_after_address_change_followup_a,ঠিকানা হালনাগাদে অনুমোদন পেলে নতুন তথ্যযুক্ত এনআইডি কীভাবে পাওয়া যায়?,সংশোধনের আবেদন অনুমোদন হলে অনলাইন থেকে সংশোধিত কার্ড ডাউনলোড করে নিতে পারবেন।,13,1,1
47,card_avail_after_address_change_followup_c,ডাউনলোড অপশন মিলছে না—এ অবস্থায় কী করণীয়?,সংশ্লিষ্ট কাজটি অনলাইনে করা সম্ভব না হলে আপনি আপনার নিজ উপজেলা নির্বাচন অফিসের সহযোগিতা নিতে পারেন,19,1,1
48,card_correction_fees,"তথ্য সংশোধনের জন্য কত টাকা দিতে হয়, ভ্যাটসহ?","(১) কার্ডে প্রদর্শিত তথ্য ১ম বার সংশোধনের জন্য ২৩০ (ভ্যাটসহ) টাকা, ২য় বার সংশোধনের জন্য ৩৪৫ (ভ্যাটসহ), পরবর্তী প্রতিবারের সংশোধনের জন্য ৪৬০ (ভ্যাটসহ) টাকা
 (২) কার্ডে অপ্রদর্শিত তথ্য সংশোধনের জন্য ১ম বার ১১৫ (ভ্যাটসহ) টাকা, ২য় বার সংশোধনের জন্য ২৩০ (ভ্যাটসহ) টাকা, পরবর্তী প্রতিবারের সংশোধনের জন্য ৩৪৫ (ভ্যাটসহ) টাকা
 এনআইডি অনলাইন পোর্টালের মাধ্যমে আপনার নির্দিষ্ট আবেদনের ফী -এর পরিমাণ জানতে ভিজিট করুন services.nidw.gov.bd/nid-pub/fees",178,1,1
49,card_correction_fees_2_followup_a,তাড়াতাড়ি আপডেট পেতে এনআইডি সংশোধনের ফি কীভাবে দেওয়া উচিত?,দ্রুত আপডেটের জন্য এনআইডি কার্ড সংশোধনের কোন ফি নেই।,19,1,1
50,card_correction_fees_2_followup_c,এনআইডি করেকশনের অনলাইন ফর্ম পাঠানোর পরে স্ট্যাটাস দেখবো কোন সাইটে?,এ সম্পর্কে বিস্তারিত জানতে নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন।,20,1,1
51,card_correction_fees_followup_b,এনআইডি সংশোধনের ফি জমার পরে রসিদ দেখার/যাচাই করার প্রক্রিয়া কী?,দ্রুত সংশোধনী আপডেট এর জন্য কোন ফি জমা দেওয়ার নিয়ম নেই।,20,1,1
52,card_correction_fees_followup_c,এনআইডি সংশোধনের অনুরোধ অনলাইনে পাঠানোর পর তার অবস্থা দেখার উপায় কী?,এ সম্পর্কে বিস্তারিত জানতে নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করুন।,19,1,1
53,card_correction_fees_followup_d,অনলাইনে NID করেকশন ফর্ম ফিলআপ করতে গিয়ে ভুল দিলে তা কীভাবে সংশোধন করব?,অনলাইন ফর্ম পূরণের সময় ভুল হলে আপনার নিজ থানা/উপজেলা নির্বাচন অফিসে যোগাযোগ করবেন।,20,1,1
54,card_correction_fees_payment_reference_nid_number_query,ফি প্রদানের সময় কোন NID নম্বর দিয়ে লগইন করবো?,আপনি ১৭ অথবা ১০ ডিজিট যেকোন এনআইডি নম্বর ব্যবহার করে ফি জমা দিতে পারবেন।,182,1,1
55,card_correction_fees_payment_reference_nid_number_query_followup_a,দ্রুত আপডেটের জন্য এনআইডি ফি কীভাবে পরিশোধ করা উচিত?,দুঃখিত সংশোধন ফি শুধুমাত্র অনলাইন ও মোবাইল ব্যাংকিং এ মাধ্যমে জমা করতে হয় সেক্ষেত্রে দ্রুত আপডেটের জন্য ফি জমা দেওয়ার অন্য কোন সুযোগ নেই।,20,1,1
56,card_correction_one_information_maximum_limit,আমি কয়বার কার্ডের তথ্য ঠিক করতে পারব?,জাতীয় তথ্য ভান্ডারে রক্ষিত তথ্য প্রয়োজনীয় দলিলাদির ভিত্তিতে সাধারণত একবার সংশোধন করা হয়। তবে উপযুক্ত দলিলাদি উপস্থাপন সাপেক্ষে পুনরায় আবেদন করলে কর্তৃপক্ষ যাচাই-বাছাই করে সিদ্ধান্ত গ্রহণ করতে পারে।,182,1,1
57,card_correction_one_information_maximum_limit_followup_a,"একই তথ্য বারবার ঠিক করা কি সম্ভব, হলে সর্বোচ্চ কতবার?",জাতীয় তথ্য ভান্ডারে রক্ষিত তথ্য প্রয়োজনীয় দলিলাদির ভিত্তিতে সাধারণত একবার সংশোধন করা হয়। তবে উপযুক্ত দলিলাদি উপস্থাপন সাপেক্ষে পুনরায় আবেদন করলে কর্তৃপক্ষ যাচাই-বাছাই করে সিদ্ধান্ত গ্রহণ করতে পারে।,6,1,1
58,card_correction_one_information_maximum_limit_followup_b,একই তথ্য আবার সংশোধনের জন্য আবেদন করতে হলে কি সময়ের ফাঁক দরকার?,একই তথ্য পুনরায় সংশোধনের আবেদন করতে কোন সময়ের ব্যবধান প্রয়োজন নেই।,20,1,1
59,card_correction_one_information_maximum_limit_followup_c,একই তথ্য আবার আবার ঠিক করতে হলে কি প্রতি বার নতুন ফি জমা দিতে হয়?,একই তথ্য বারবার সংশোধন করতে প্রতিবারই আলাদা ফি জমা দিতে হবে।,20,1,1
60,card_correction_request_canceled_by_consumer_regarding_refund_fees_followup_b,জাতীয় পরিচয়পত্র ফি জমা দেওয়ার পর পেমেন্ট ভেরিফিকেশন কীভাবে করা যায়?,ফি জমা দিলে তা স্বয়ংক্রিয় ভাবে এনআইডি একাউন্টে জমা হয়ে যাবে। আলাদাভাবে তা যাচাইয়ের প্রয়োজন পড়বে না।,20,1,1
61,card_correction_request_canceled_by_consumer_regarding_refund_fees_followup_c,এনআইডি ফি দেওয়ার ব্যাপারে প্রামাণ্য তথ্য জানতে আমাকে কোন শাখা দপ্তরে যেতে হবে?,সংশোধন সংক্রান্ত নিশ্চিত তথ্য পেতে আপনি যে থানা/উপজেলার ভোটার সংশ্লিষ্ট সেই থানা/উপজেলা নির্বাচন অফিসে যোগাযোগ করতে হবে। এছাড়াও এ সম্পর্কে বিস্তারিত জানতে নির্বাচন কমিশনের হেল্পলাইন ১০৫ নম্বরে কল করেও জানতে পারবেন।,20,1,1
62,card_correction_request_failed_query_regarding_refund_fees,আবেদন সাবমিট না করে পরিশোধিত অর্থ কি ফেরত দেওয়া হয়?,"দুঃখিত, আপনার জমাকৃত আবেদনের বিপরীতে ফি ফেরত পাওয়ার সুযোগ নেই।",170,1,1
63,card_correction_request_failed_query_regarding_repayment_fees_followup_a,"এনআইডি সংশোধন ফি জমা দেওয়ার এমন কোন উপায় আছে, যাতে আপডেট তাড়াতাড়ি হয়?",দুঃখিত সংশোধন ফি শুধুমাত্র অনলাইন ও মোবাইল ব্যাংকিং এ মাধ্যমে জমা করতে হয় সেক্ষেত্রে দ্রুত আপডেটের জন্য ফি জমা দেওয়ার অন্য কোন সুযোগ নেই।,20,1,1
64,card_correction_request_failed_query_regarding_repayment_fees_followup_b,জাতীয় পরিচয়পত্র সংশোধনের ফি জমা দেওয়ার রসিদ বা লেনদেন কীভাবে নিশ্চিত করব?,ফি জমা দিলে তা স্বয়ংক্রিয় ভাবে এনআইডি একাউন্টে জমা হয়ে যাবে। আলাদাভাবে তা যাচাইয়ের প্রয়োজন পড়বে না।,20,1,1
65,card_correction_request_failed_query_regarding_repayment_fees_followup_c,আপডেট অনুমোদিত হলে সংশোধিত NID কার্ড পাওয়ার উপায়টা কী?,সংশোধনের আবেদন অনুমোদন হলে অনলাইন থেকে সংশোধিত কার্ড ডাউনলোড করে নিতে পারবেন।,19,1,1
66,card_damaged_how_to_get_new_card,স্মার্টকার্ডটা ভেঙে গেছে নতুন কার্ড পাওয়ার জন্য কোথায় যাব?,এনআইডি নম্বর জানা থাকলে সরাসরি অনলাইনে আবেদন করুন।,170,1,1
67,card_damaged_how_to_get_new_card_followup_a,ডুপ্লিকেট এনআইডি পাওয়ার জন্য করণীয়গুলো ক্রমানুসারে বলবেন?,services.nidw.gov.bd এই ওয়েব সাইটে গিয়ে আপনার একাউন্ট রেজিস্টার করবেন। তারপরে নির্ধারিত ফি জমা দিয়ে reissue অপশন থেকে থেকে আপনার উত্তোলনের জন্য আবেদন সাবমিট করবেন।,18,1,1
68,card_damaged_how_to_get_new_card_followup_c,"রি-ইস্যু সার্ভিসটি কি ঘরে বসে অনলাইনে সম্পন্ন করা যাবে, নাকি অফিসে উপস্থিত থাকতে হবে?",এই কাজটি অনলাইনে করা যাবে,19,1,1
69,card_damaged_how_to_get_new_card_followup_d,জাতীয় পরিচয়পত্র পুনঃইস্যু হয়ে যেতে সাধারণত কত কর্মদিবস লাগে?,প্রক্রিয়াটি সম্পন্ন হতে সাধারণত ৩০ কার্যদিবস সময় লাগতে পারে।,19,1,1
70,card_information_correction_followup_b,অনলাইন এনআইডি সংশোধন আবেদন ফরমে ভুল তথ্য উঠে এলে সেটি কীভাবে ঠিক করতে পারি?,সংশোধণ আবেদন ভূল সাবমিট হলে ঠিক করার সুযোগ নেই।,18,1,1
71,card_information_correction_followup_c,জাতীয় পরিচয়পত্রের তথ্যগত ত্রুটি সংশোধনের জন্য প্রথমে কী করতে হবে?,সেক্ষেত্রে আবেদনটি বাতিল করে পূনরায় আবেদন করতে হবে। অনলাইন আবেদনটি বাতিল করার জন্য মহাপরিচালক বরাবর বাতিলের আবেদনপত্র সংশ্লিষ্ট থানা/উপজেলা নির্বাচন অফিসে জমা করতে পারেন।,20,1,1
72,card_information_correction_followup_d,সংশোধন অনুমোদিত হলে কার্ড সংগ্রহ করতে আমাকে কী করতে হবে?,services.nidw.gov.bd/ ওয়েবসাইট থেকে কার্ডটি ডাউনলোড করা যাবে।,16,1,1
73,card_lost_and_damaged_cost_followup_a,জাতীয় পরিচয়পত্র রি-ইস্যুর ফি কোথায় বা কীভাবে জমা দিলে সঙ্গে সঙ্গে আপডেট দেখাবে?,নতুন কার্ড পেতে জরুরী অপশন হতে জরুরি পেমেন্ট দিয়ে আবেদন করলে দ্রুত আপডেট হবে,20,1,1
74,card_lost_new_card_fee_followup_b,NID পুনঃমুদ্রণের জন্য দেওয়া ফি’র ট্রানজেকশন আইডি যাচাই করার উপায় কী?,নির্ধারিত ফি জমা দেওয়ার পরে রশিদ বা ট্রানজেকশন যাচাই করার প্রয়োজন পড়বে না। ফি পরিশোধ করলে তা স্বয়ংক্রিয়ভাবে একাউন্টে যোগ হয়ে যাবে।,20,1,1
75,card_lost_new_card_fee_followup_c,অনলাইনে দেওয়া এনআইডি রি-ইস্যু আবেদনটির স্টেটাস কীভাবে চেক করবো?,অনলাইন আবেদন করার পর স্ট্যাটাস জানতে 105 নম্বরে কল করুন,20,1,1
76,card_lost_no_info_how_to_get_new_followup_a,"হারানো এনআইডি রি-ইস্যুর জন্য কোন শাখায় যেতে হবে, সেই স্থানের ঠিকানা ও অফিস আওয়ারস কী?",আপনার ভোটার এলাকা সংশ্লিষ্ট উপজেলা/থানা নির্বাচন অফিসে যেতে হবে।,20,1,1
77,card_lost_no_info_how_to_get_new_followup_c,এনআইডি পুনঃপ্রদানের সমস্যা কাটাতে প্রাথমিক করণীয় কী?,এই সমস্যা সমাধানের প্রথম ধাপ হবে আপনার উপজেলা/থানা নির্বাচন অফিসে যোগাযোগ করা।,20,1,1
78,card_reissue_fees_followup_a,এনআইডির ফি তাড়াতাড়ি সিস্টেমে ওঠাতে কোন পেমেন্ট অপশন নেওয়া ভালো?,দ্রুত আপডেটের জন্য এনআইডি কার্ড সংশোধনের কোন ফি নেই।,20,1,1
